terms,subtopic
You have the ability to accept or decline cookies and You may use the Sites even if you choose to reject or delete the cookies.,user information collection
Cookies also may be used by some of the other websites for which a link is placed on the Sites.,user information collection
"We may combine this non personal information with personal information, and will treat the combined information as personal information.",user information collection
Initial processing of personal data is required for the purpose of making it possible to stipulate a contract between the Data Subject to you and the Company.,user information collection
"the fulfilment of the contract of mandate for collection from the User to the Company whenever the Data Subjects stipulate on their own and as an independent Data Processor with other site users through the Marketplace service and the Store function contracts of sale and purchase of Digital Content texts, documents and materials in general with educational and informative content in digital format or of Tutoring Content online lessons provided by teaching staff that the Company collects payment thereof, and assigns payment to the Data Subject.",user information collection
"To allow the Company to fulfil these obligations under the Contract, the User's relevant personal information will be processed",user information collection
"Prior to the conclusion of the Contract, the processing of the Data Subject's personal information may also pursue pre-contractual purposes, such as responding to specific requests from the same, providing technical and negotiation assistance for the registration process, or performing lawful and relevant checks  in compliance with the current ethical codes and good conduct on the processing of personal information with regard to the veracity of the data provided.",user information collection
"For greater transparency towards the Data Subject, the primary purposes of the processing connected with the fulfilment of the Contract may also be specifically aimed at providing services as a whole defined by the General Terms and Conditions, maintenance and technical assistance, management of payments between users, management of payment collections by the Company of the sums due on the services rendered; management of any complaints and/or disputes, storage of personal information, use of personal data to make communications relating to the performance of the established contractual relationship, checks on the proper fulfilment of the obligations undertaken, contesting illegal or fraudulent behaviour.",user information collection
Access to and navigation of the Site where the Company offers its services related to the Contract and to the management of a protected area are free but the possibility of benefiting from the aforementioned services including free services such as the creation of a personal Dashboard is allowed only following the Data Subject's registration.,user information collection
The registration process consists of filling in an online form where the user is required to indicate certain personal data for the activation of authentication credentials with which they will subsequently access all member's areas and services to registered users.,user information collection
"Therefore further primary purposes of the processing are represented by the need to allow the completion of the required procedures for prior online registration and the creation of an account and to allow the Site administrators to generate and subsequent technical and administrative management (including providing support and technical assistance upon request) of the account itself including Client IDs, activation codes, passwords and similar authentication credentials as created within the registration process",user information collection
"In these primary and main purposes of processing the Data Subject's personal information are also those to allow access to the Site's web pages and, where possible, enjoy online services and pre- and post-contractual assistance for the management of any consequent contractual, administrative, technical or legal profile and With reference to this last processing, the purpose is also to manage any type of request for assistance technical, commercial and contractual received by the Company concerned and to provide the relevant response.",user information collection
"In these specific cases, technical processing is aimed solely at carrying out the transmission of a communication over an electronic communications network to the extent strictly necessary for the Company to provide the services explicitly requested by the contracted user.",user information collection
"For greater transparency towards the Data Subject, the primary purposes of the processing connected with the fulfilment of the Contract may also be specifically aimed at providing services as a whole defined by the General Terms and Conditions, maintenance and technical assistance, management of payments between users, management of payment collections by the Company of the sums due on the services rendered management of any complaints and disputes, storage of personal information, use of personal data to make communications relating to the performance of the established contractual relationship, checks on the proper fulfilment of the obligations undertaken, contesting illegal or fraudulent behaviour.",user information collection
"Pluralsight uses the personal information you provide in a manner that is consistent with this Privacy Policy and We use your personal information to provide our services on our Site, including services arising from any obligations set forth in a contract between you and us. ",user information collection
"These services may include providing access to our course library, administration of your account, billing, and notifying you of changes to our service or your account",user information collection
"This data will also be used to allow you to participate in the interactive features of our Site or to provide you with information you may have requested from us, including whitepapers, access to webinars, or the like.",user information collection
"We also use your personal information together with other personally non-identifiable information to help us better understand our users, to personalize and improve your experience with our Site, and to improve the content and functionality of our Site.",user information collection
This may include providing information about our goods and services that we feel may interest you and enhance your interaction with our Site,user information collection
"We will communicate with you about these goods and services via email, direct mail, telephone, or on our Site and These communications may include newsletters, promotional emails, product updates, or market research requests.",user information collection
"We will use your information for this purpose only if you have given your consent to receive marketing material from us at the point we collected your information, where required by law, or otherwise in our legitimate interests, provided these interests do not override your right to object to such communications.",user information collection
"We will use this information in our legitimate interests where we have considered these are not overridden by your rights, to administer our Site, and for internal operations, including troubleshooting, data analysis, testing, research, and statistical survey purposes. ",user information collection
"We will also use this information to keep our Site safe and secure, for measuring the effectiveness of how we present content and how we market and advertise",user information collection
"We use Internet protocol addresses and non-personally identifiable information in our log files to analyze trends, to administer our Site, to track usersï¿½ movements in and around our Site, and to gather demographic information about our user base as a whole. We also utilize unstructured machine learning technologies to understand user behaviors and to provide user-specific recommendations and other personalization of our Site experience.",user information collection
We will combine this information with information you give to us and information we collect about you in our legitimate interests ,user information collection
We will use this information and the combined information for the purposes set out above depending on the types of information we receive.,user information collection
"You provide some of this data directly, and we get some of it by collecting data about your interactions, use, and experiences with our products and The data we collect depends on the context of your interactions with and the choices you make, including your privacy settings and the products and features you use and We also obtain data about you from third parties.",user information collection
"We rely on a variety of legal reasons and permission to process data, including with your consent, a balancing of legitimate interests, necessity to enter into and perform contracts, and compliance with legal obligations.",user information collection
"We also obtain data from third parties. We protect data obtained from third parties according to the practices described in this statement, plus any additional restrictions imposed by the source of the data",user information collection
"You have choices when it comes to the technology you use and the data you share and When you are asked to provide personal data, you can decline Many of our products require some personal data to operate and provide you with a service.",user information collection
"If you choose not to provide data required to operate and provide you with a product or feature, you cannot use that product or feature. Likewise, where we need to collect personal data by law or to enter into or carry out a contract with you, and you do not provide the data, we will not be able to enter into the contract; or if this relates to an existing product youï¿½re using, we may have to suspend or cancel it. We will notify you if this is the case at the time.",user information collection
"Where providing the data is optional, and you choose not to share personal data, features like personalization that use the data will not work for you.",user information collection
"Name and contact data Your first and last name, email address, postal address, phone number, and other similar contact data.",user information collection
"Credentials Passwords, password hints, and similar security information used for authentication and account access.",user information collection
"Payment data. Data to process payments, such as your payment instrument number such as a credit card number and the security code associated with your payment instrument.",user information collection
"Device and usage data. Data about your device and the product and features you use, including information about your hardware and software, how our products perform, as well as your settings",user information collection
"Device, connectivity, and configuration data. Data about your device, your device configuration, and nearby networks. For example, data about the operating systems and other software installed on your device, including product keys. In addition, IP address, device identifiers (such as the IMEI number for phones), regional and language settings, and information about WLAN access points near your device.",user information collection
"Error reports and performance data. Data about the performance of the products and any problems you experience, including error reports. Error reports (sometimes called ï¿½crash dumpsï¿½) can include details of the software or hardware related to an error, contents of files opened when an error occurred, and data about other software on your device.",user information collection
"Troubleshooting and help data. Data you provide when you contact Microsoft for help, such as the products you use, and other details that help us provide support. For example, contact or authentication data, the content of your chats and other communications with Microsoft, data about the condition of your device, and the products you use related to your help inquiry. When you contact us, such as for customer support, phone conversations or chat sessions with our representatives may be monitored and recorded.",user information collection
"Interests and favorites. Data about your interests and favorites, such as the sports teams you follow, the programming languages you prefer, the stocks you track, or cities you add to track things like weather or traffic. In addition to those you explicitly provide, your interests and favorites can also be inferred or derived from other data we collect",user information collection
"Content consumption data like Information about media content TV, video, music, audio, text books, apps, and gamesyou access through our products.",user information collection
Searches and commands. Search queries and commands when you use products with search or related productivity functionality,user information collection
"Your voice data, sometimes referred to as voice clips, such as search queries, commands, or dictation you speak, which may include background sounds.",user information collection
"Text, inking, and typing data. Text, inking, and typing data and related information, when we collect inking data, we collect information about the placement of your inking instrument on your device.",user information collection
"Images and related information, such as picture metadata we collect the image you provide when you use a Bing image enabled service.",user information collection
"Contacts and relationships Data about your contacts and relationships if you use a product to share information with others, manage contacts, communicate with others, or improve your productivity",user information collection
"Social data. Information about your relationships and interactions between you, other people, and organizations, such as types of engagement likes, dislikes, events, related to people and organizations",user information collection
"Location data Data about your deviceï¿½s location, which can be either precise or imprecise we collect location data using Global Navigation Satellite System and data about nearby cell towers and Wi-Fi hotspots Location can also be inferred from a deviceï¿½s IP address or data in your account profile that indicates where it is located with less precision, such as at a city or postal code level.",user information collection
"Other input like Other inputs provided when you use our products data such as the buttons you press on an wireless controller using the network, skeletal tracking data when you use Kinect, and other sensor data, like the number of steps you take, when you use devices that have applicable sensors And, if you use Spend, at your direction, we also collect financial transaction data from your credit card issuer to provide the service If you attend an in store event, we collect the data you provide to us when registering for or during the event and if you enter into a prize promotion, we collect the data you input into the entry form.",user information collection
"Video or recordings. Recordings of events and activities at buildings, retail spaces, and other locations. If you enter Microsoft Store locations or other facilities, or attend a Microsoft event that is recorded, we may process your image and voice data.",user information collection
"Feedback and ratings. Information you provide to us and the content of messages you send to us, such as feedback, survey data, and product reviews you write.",user information collection
"Traffic data. Data generated through your use of Microsoftï¿½s communications services. Traffic data indicates with whom you have communicated and when your communications occurred. We will process your traffic data only as required to provide, maintain, and improve our communications services and we do so with your consent.",user information collection
Product-specific sections below describe data collection practices applicable to use of those products,user information collection
"uses standard Web logging in its Web servers, our Web server may automatically recognize the domain name of each Visitor, each Visitorï¿½s IP address, what Web page the Visitor requests, and the time of the request, along with a variety of information supplied by the visitorï¿½s browser",user information collection
collect the email addresses and messages of those who communicate with it via email or who enter email addresses in forms,user information collection
"collect personally identifying information when a Researcher registers for access to the Collections, including the Researcherï¿½s name, address, telephone number, and email address, and the Researcherï¿½s proposal for using the Collections.",user information collection
use cookies to track Users activities on the Site and in the Collections Cookies are small files that a server transfers to the hard drive of someone who visits a site and that the server can access when the person returns to the site,user information collection
"pass through many machines, operating systems, programs, browsers, Web servers, networks, routers, Ethernet switches, Internet service providers, proxy servers, intranets, the public phone system, or other devices (collectively, ""Devices"") on your premises, at the Archive, and in between. Some of these Devices create logs of activities that are recorded on computer systems.",user information collection
"Our primary goals in collecting information are to provide and improve our Services, to administer your use of the Services (including your Account, if you are an Account holder), and to enable you to enjoy and easily navigate our Services",user information collection
"When you create an Account we'll collect certain information that can be used to identify you, such as your name, email address, and credit card information",user information collection
"We may also collect certain information that is not PII because it cannot be used by itself to identify you. If you choose to create an Account through one of your SNS Accounts, you may have to provide us with your username (or userID) so that your identity can be authenticated by the SNS Account",user information collection
"When the authentication is complete, weï¿½ll be able to link your Account with the SNS Account and access certain PII, such as your name and email address, and other PII that your privacy settings on the SNS Account permit us to access",user information collection
We donï¿½t receive or store passwords for any of your SNS Accounts.,user information collection
We may receive reports based on the use of these technologies by these companies on an individual as well as aggregated basis.,user information collection
We use cookies to identify that you've logged in to the Services and to tell us how and when you interact with our Services,user information collection
"In some cases we collect and store information about where you are located, such as by converting your IP address into a rough geolocation, such as the city where you are located when you access the Services. We may use location information to improve and personalize our Services for you.",user information collection
You browse any page of the website,how use collected information
"Our platform collects data when you interact with its website, especially when Our representative calls you ",how use collected information
"Our platform does not knowingly attempt to solicit or receive information from children under 16 years of age. We acknowledge and understand that you are aware of and care about your own personal privacy interests, and we take that seriously",how use collected information
"This Privacy Policy describes the policies and practices with regard to the collection and use of your personal data, and sets forth your privacy rights",how use collected information
If you have given consent to the processing of your data you can freely withdraw such consent at any time by emailing us to any address displayed on Contact us page,how use collected information
" If you do withdraw your consent, and if we do not have another legal basis for the processing of your data, then we will stop the processing of your personal data",how use collected information
" If the Website has another legal basis for the processing of your data, then we may continue to do so subject to your legal interests and rights",how use collected information
"To provide information to third parties that may provide you with personalized content and advertising about their stores, products, and services.",how use collected information
"To alert you to new features, terms, stores, products, or services.",how use collected information
"To send emails or newsletters, and to provide you with personalized content in the newsletters.",how use collected information
To monitor and analyze information regarding your browsing and viewing preferences.,how use collected information
To analyze our usersï¿½ demographics and interests.,how use collected information
To process and respond to your inquiries.,how use collected information
To improve the Sites.,how use collected information
 For the purposes for which you provided the information,how use collected information
To enforce the Terms of Use.,how use collected information
In all the cases illustrated above and based on the applicable regulatory provisions of the Regulations and the current Italian legislative decree on the coordination of national legislation on personal data protection the Company shall communicate personal data to the following external recipients.,how use collected information
"As required by the Guidelines on transparency, we provide the relevant indications on the recipients of data communication according to the obligations laid down therein mandatory indication where possible of the subjects and entities that receive data communication, including external managers, co-processors, internal managers.",how use collected information
"To third party service providers to whom communication is necessary for the performance of the services covered by the Contract As required by the Guidelines on transparency, where the Data Processor chooses to indicate the recipients of the data by categories, they must justify why they consider this approach correct and, in any case, the reference category must not be generic but specific, making reference to the activities carried out, the sector, industry, and the territorial location of the recipients identified by this category.",how use collected information
"In this perspective, and in this case the Company considers the approach for recipient categories of communication to be correct, given that the nominative indication of suppliers and sub-suppliers would be exorbitant",how use collected information
It is always possible for the Data Subject to make an informal request by email  for complete list of data recipients.,how use collected information
"The third party recipients of personal data are represented by the following categories: companies in the banking and credit sector that provide services for the management of financial transactions related to collections and payments; suppliers in the ICT services sector for installation, assistance and maintenance of IT and electronics for systems and services functionally connected and necessary for the performance of the services covered by the Contract; subjects that carry out archival activities for the documentation relating to the relationships with the Data Subject; subjects that provide services for the management of the Company's electronic platforms; subjects that carry out activities of control, revision and certification of the activities carried out by the Company; subjects that carry out debt-collection activities; companies that provide contractual assistance to customers (e.g. call centres); persons, companies or professional firms, which provide assistance, advice or collaboration to the Company in accounting, administrative, legal, tax and financial matters relating to the Contract; companies and institutional subjects operating in the field of fraud prevention; service providers aimed at verifying the accuracy and validity of personal and tax data;to other internal personnel and persons authorised to the processing forming part of the Company's organisational chart, based on roles or functions and/or specific internal company procedures. Personal data will be made accessible only to those who need it due to their job or hierarchical position. These persons are appropriately identified as persons authorised to carry out processing pursuant to Articles 29 and 32 of the Regulations and are obliged to the legal commitment to confidentiality and are specifically instructed in order to avoid losses, destruction, unauthorised access or unauthorised processing of data",how use collected information
"Individual's personal data will not be disseminated elsewhere on the site, unless otherwise indicated on the User's personal Dashboard (that they manage autonomously as an independent Data Processor), where there are options or functions selected by the Data Subject (in this case it would establish on its own as the independent Data Processor on the scope of dissemination) that render such information visible to not identified or identifiable recipients",how use collected information
"The personal data collected will be processed subject to the Data Subject's consent also for the following secondary and homogeneous purposes of processing to pursue purposes of commercial promotion, advertising communication, solicitation to purchase behaviour, market research, surveys, statistical elaborations of an identifying nature, other marketing researches in a broad sense (including prize events, games and competitions of products and services related to the Company.",how use collected information
"For informative transparency's sake, and as requested by WP259 Guidelines on consent under the Rules issued by the Group of European Guarantors, as an exception to the rule of granularity of consent (as many consents as are the purposes and processing operations, should these be heterogeneous) it should be noted that these Guidelines authorise a single formula of consent ""To cover various processing operations, where such processing operations pursue a series of unitary purposes""; moreover, according to Point 32 of the aforementioned Rules, a single consent can be applied ""to all processing activities carried out for the same purpose or purposes"".",how use collected information
"The objectives indicated herein are objectively attributable to the pursuit of a unitary purpose, due to the fact that the processing operations are different, being that of commercial promotion and marketing in the broad sense",how use collected information
"Consequently, by conferring a unified consent to the Processing for Marketing Purposes the Data Subject specifically takes note of the homogeneous and different promotional, commercial and marketing purposes specified in detail (including the consequent management and administrative activities) and expressly authorises aforesaid processing and purposes, both where the means used for the Processing for Marketing Purposes via telephone with an operator or other non-electronic means, not electronic or not supported by automatic, electronic or electronic mechanisms and/or procedures where the means used are email, fax, text messages, automatic systems without an operator's or similar intervention, including electronic platforms and other electronic means) that - lastly - as a specific and further legal basis of Processing for Marketing Purposes pursuant to Article 6, Paragraph 1, Letter (a) of the Regulations.",how use collected information
"Consent given for the sending of commercial and promotional communications through the use of electronic mail, fax, text messages, automatic systems without an operator's or similar intervention, including electronic platforms and other electronic means implies the receipt of such communications, not only through these automated methods of contact, but also through traditional methods such as ordinary mail or phone calls.",how use collected information
"the right to oppose the processing of personal data for purposes of direct marketing through the aforementioned automated methods of contact, will in any case extend to the traditional ones and, even in this case, the possibility of exercising such law in part, as required by Article if the Regulations, both with respect to determined means and processing.",how use collected information
"the possibility remains for the Data Subject who does not give consent in the terms indicated above, to express any wish to receive communications for the aforementioned marketing purposes exclusively through traditional methods of contact, where provided for: this will be freely exercised by simply sending an email to dpo@docsity.com",how use collected information
This is information about you that you give us directly when you interact with us,how use collected information
"When you create an account for our Platform, we require you provide first name, last name, and email address. When you purchase a subscription, we will need payment and billing information, often including an address and credit card information.",how use collected information
"Additionally, you can provide additional personal information to complete a profile within our system",how use collected information
"We will automatically collect information from you each time you visit our Site. This includes technical information, information about your visit, and information about your activity on our Site such as courses searched and viewed, page response times, download errors, length of visit to certain pages, page interaction information (such as scrolling, clicks, and mouseovers), methods to browse to and away from a page, and methods used to contact our sales and support teams",how use collected information
"Technical information may also include the Internet protocol address used to connect your device to the Internet, unique device identifiers, your login information, browser type and version, time zone setting, browser plug-in types and versions, operating systems, and device platform. ",how use collected information
"This is information we receive about you from third parties that we work closely with to provide, promote, and improve our services",how use collected information
"These third parties include business partners, vendors who assist in technical and payment services, advertising networks, analytics providers, and search information providers.",how use collected information
"Provide our products, which includes updating, securing, and troubleshooting, as well as providing support. It also includes sharing data, when it is required to provide the service or carry out the transactions you request",how use collected information
Improve and develop our products,how use collected information
Personalize our products and make recommendations.,how use collected information
"Advertise and market to you, which includes sending promotional communications, targeting advertising, and presenting you with relevant offers.",how use collected information
"We also use the data to operate our business, which includes analyzing our performance, meeting our legal obligations, developing our workforce, and doing research",how use collected information
"In carrying out these purposes, we combine data we collect from different contexts from your use obtain from third parties to give you a more seamless, consistent, and personalized experience, to make informed business decisions, and for other legitimate purposes.",how use collected information
Our processing of personal data for these purposes includes both automated and manual and human methods of processing,how use collected information
"Our automated methods often are related to and supported by our manual methods andour automated methods include artificial intelligence, which we think of as a set of technologies that enable computers to perceive, learn, reason, and assist in decision-making to solve problems in ways that are similar to what people do.",how use collected information
"To build, train, and improve the accuracy of our automated methods of processing including AI, we manually review some of the predictions and inferences produced by the automated methods against the underlying data from which the predictions and inferences were made and we manually review short snippets of voice data that we have taken steps to de-identify to improve our speech recognition technologies. This manual review may be conducted by Microsoft employees or vendors who are working on Microsoftï¿½s behalf.",how use collected information
"when you choose to teach or attend a class, we will ask you for Personal Data",how use collected information
"Personal Data refers to information about you that can be used to contact or individually identify you. This includes, but is not limited to, your name, email address, but does not include your credit card number or billing information",how use collected information
Transactions on Skillshare involving your billing and payment information are processed by PayPal and Stripe and are subject to their privacy policies. We do not store any of the credit card or banking information that you provide to these payment processors.,how use collected information
"In order to send you email from Skillshare, we need your email address. To provide you with additional services, we may also request your name, general location, and telephone number",how use collected information
We may give some or all of this information to the teachers for classes that you sign up for so that they can coordinate their classes.,how use collected information
"We will not give your name, email, or other Personal Data to unaffiliated third parties except with your consent or as otherwise set forth in this privacy policy",how use collected information
"Though we employ industry standard measures to preserve user privacy, we may need to disclose Personal Data when required by law or when we have a good faith belief that such action is necessary to comply with a current judicial proceeding, a court order or legal process that we receive or to protect our interests or the safety of others. In addition, we may provide Personal Data to employees, consultants or other business or persons for the purpose of processing such information on our behalf. In such circumstances, we require that these parties agree to protect the confidentiality of such information and to comply with the terms of this Privacy Policy. We may use your Personal Data to operate, improve, understand and personalize our Services.",how use collected information
"no other access to or use of the Site, the Collections, or the Archive's services is authorized. You agree not to interfere with the work of other users or Archive personnel, servers, or resources",how use collected information
 you agree not to recirculate your password to other people or organizations,how use collected information
"You agree to abide by all applicable laws and regulations, including intellectual property laws, in connection with your use of the Archive. In particular, you certify that your use of any part of the Archive's Collections will be limited to noninfringing or fair use under copyright law",how use collected information
no present intention to charge for access to the Collections,how use collected information
"transfer the information on its machines, including personally identifying information, into the Collections",how use collected information
"The Collections are made available to researchers and may be made available on the Site, or provided to third parties, for any use, without limitation. For instance, parts of the Collections are now in the collections of the Library of Congress and the Smithsonian Institution",how use collected information
We will not share any PII that we have collected from you ,how use collected information
"We may engage third party service providers to work with us to administer and provide the Services, such as our payment processor facilitating transactions for your membership. These third-party services providers have access to your PII only for the purpose of performing services on our behalf.",how use collected information
"We may share aggregated information and non identifying information with third parties for industry analysis, demographic profiling and other similar purposes.",how use collected information
"Information that we collect from our users, including is considered to be a business asset and if we go out of business or enter bankruptcy or if we are acquired as a result of a transaction such as a merger, acquisition or asset sale, your PII may be disclosed or transferred to the third-party acquirer in connection with the transaction, you will be notified via email and/or a prominent notice on our Web site of any change in ownership or uses of your personal information, as well as any choices you may have regarding your personal information.",how use collected information
"We take reasonable measures to protect the information that we collect from or about you including your from unauthorized access, use or disclosure. When you enter sensitive information such as a credit card number on our registration or order forms via the site, we encrypt that information using secure socket layer technology. Please be aware, however, that no method of transmitting information over the Internet or storing information is completely secure. Accordingly, we cannot guarantee the absolute security of any information.",how use collected information
"we may share your information in response to a subpoena, legal order, or official request, when we believe you have acted in violation of this Privacy Policy or the Terms of Use  to investigate, prevent, or take action regarding suspected illegal activities, fraud, or potential threats, or exercise legal rights or defend against claims, when we believe that doing so may protect your safety or the safety of HyperPad or others, or as otherwise permitted or required by law",third parties and online advertising
"We also may use and share non-personally identifiable information with third parties and we may take personally identifiable information and de-identify it and share it in a de-identified or aggregated form with advertisers, business partners, and/or third parties in order to analyze Sites usage, perform services on our Sites or othersï¿½ sites, improve our services, improve our user experience, or for similar purposes",third parties and online advertising
We will not re-identify such data and we will ask our contracting parties to agree to keep the data in its de-identified form.,third parties and online advertising
"We shall not sell, transfer or lease out your personal data to third parties",third parties and online advertising
"we may take personally identifiable information and de-identify it and share it in a deidentified or aggregated form with advertisers, business partners, and third parties in order to analyze Sites usage, perform services on our Sites or othersï¿½ sites, improve our services, improve our user experience, or for similar purposes",third parties and online advertising
We will not re-identify such data and we will ask our contracting parties to agree to keep the data in its deidentified form,third parties and online advertising
"By uploading the Digital Contents on the Website, Users allows free of charge to host on the Website the Digital Contents, for their use, reproduction, file compression or file conversion for their publication, or other use, under these Terms and Conditions and the functions from time to time available on the Website  Such authorization shall be deemed automatically revoked should the Digital Contents be removed from the Website by Users",third parties and online advertising
"By uploading the Digital Contents on the Website, Users also allow other Users to visualize, consult and download the Digital Contents, under these Terms and Conditions and other functions from time to time available on the Website.",third parties and online advertising
"does not provide, or did not provide, in whole or in part, data and information updated, complete, truthful and correct.",third parties and online advertising
"We sometimes hire other companies to perform certain business-related functions, such as sending email on our behalf, payment processing, or conducting market research",third parties and online advertising
"We also share your email address with third parties, such as Facebook, LinkedIn, and Twitter in order to provide custom marketing materials for you on their platforms. ",third parties and online advertising
"When we employ another company to perform a function of this nature, we only provide them with the information that they need to perform their specific function",third parties and online advertising
These companies are not permitted to use any personal information that we share with them for any other purpose aside from providing services to us.,third parties and online advertising
We also share information with third parties about customer engagement on our platform.,third parties and online advertising
We share this information and receive feedback from those third parties in order to improve the content available on our platform and better collaborate with our partners to jointly help companies and individuals address their skill development needs,third parties and online advertising
"Unless we specifically ask for and you grant consent, the data we provide to third parties does not include personal information.",third parties and online advertising
"We partner with certain third parties to provide our services to their employees or their community members and as part of such partnerships, a third party may pay for the subscription for its employees or community members or otherwise contract with Pluralsight to make your subscription available to you, and Pluralsight may share information about your use of our services with the third party.",third parties and online advertising
"If your subscription was provided by your employer or community sponsor including Company Partnerships as defined in the Terms of Use, we may share information you provide, or information we may otherwise collect through your registration and use of our services, with such third party and This information may include course viewing history, course viewing time, course or assessment completion, course quality ratings and feedback, certifications, performance related metrics, and other personal information. ",third parties and online advertising
"As we develop our business, we might sell or buy businesses or assets and Your personal information may be transferred to a buyer or other successor in the event of a corporate sale, merger, reorganization, dissolution, or similar event in which personal information held by us about our Site users is among the assets transferred.",third parties and online advertising
"In certain situations, Pluralsight may be required to disclose personal information in response to lawful requests by public authorities, including to meet national security or law enforcement requirements",third parties and online advertising
"We reserve the right to disclose your personal information as required by law and when we believe that disclosure is necessary to protect our rights or to comply with a judicial proceeding, court order, or similar legal process served on us or our Site.",third parties and online advertising
"We use cookies and similar technologies for storing and honoring your preferences and settings, enabling you to sign in, providing interest based advertising, combating fraud, analyzing how our products perform, and fulfilling other legitimate purposes.",third parties and online advertising
"We also use web beacons to help deliver cookies and gather usage and performance data and Our websites may include web beacons, cookies, or similar technologies from third-party service providers.",third parties and online advertising
"We use third party providers, including Facebook and Google AdWords, to advertise the Services across the internet",third parties and online advertising
"These providers may use cookies, web beacons, and other storage technologies to collect or receive information from the Services and elsewhere on the internet and use that information to provide measurement services and display targeted ads to you",third parties and online advertising
